album_id,album_title,disc_number,track_number,title,length_seconds
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1,14,Money (That’s What I Want),169
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1,1,It Won’t Be Long,133
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1,2,All I’ve Got to Do,125
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1,3,All My Loving,130
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1,4,Don’t Bother Me,149
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1,5,Little Child,108
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1,6,Till There Was You,137
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1,7,Please Mister Postman,155
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1,8,Roll Over Beethoven,167
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1,9,Hold Me Tight,153
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1,10,You Really Got a Hold on Me,183
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1,11,I Wanna Be Your Man,119
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1,12,Devil in Her Heart,148
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1,13,Not a Second Time,128
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1,14,Money (That’s What I Want),168
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,1,It Won’t Be Long,133
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,2,All I’ve Got to Do,125
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,3,All My Loving,130
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,4,Don’t Bother Me,149
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,5,Little Child,108
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,6,Till There Was You,137
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,7,Please Mister Postman,155
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,8,Roll Over Beethoven,167
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,9,Hold Me Tight,153
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,10,You Really Got a Hold on Me,183
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,11,I Wanna Be Your Man,119
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,12,Devil in Her Heart,148
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,13,Not a Second Time,128
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,14,Money (That’s What I Want),168
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1,1,I Saw Her Standing There,175
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1,2,Misery,105
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1,3,Anna (Go to Him),177
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1,4,Chains,146
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1,5,Boys,147
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1,6,Love Me Do,141
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1,7,P.S. I Love You,124
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1,8,Baby It’s You,160
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1,9,Do You Want to Know a Secret,120
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1,10,A Taste of Honey,125
